end_date,n_assets,n_edges,density,is_dag,dag_depth,n_roots,n_leaves,rebalance,method,window
2007-01-03,99,577,0.059472273757988046,True,37,8,14,2007-01-03,dynotears,252
2007-02-02,99,616,0.06349206349206349,True,44,6,10,2007-02-02,dynotears,252
2007-03-06,99,652,0.06720263863121007,True,51,8,10,2007-03-06,dynotears,252
2007-04-04,99,590,0.060812203669346525,True,40,9,7,2007-04-04,dynotears,252
2007-05-04,99,634,0.06534735106163678,True,47,7,14,2007-05-04,dynotears,252
2007-06-05,99,576,0.059369202226345084,True,44,8,9,2007-06-05,dynotears,252
2007-07-05,99,665,0.06854256854256854,True,48,6,9,2007-07-05,dynotears,252
2007-08-03,99,659,0.06792413935271079,True,36,7,13,2007-08-03,dynotears,252
2007-09-04,99,633,0.06524427952999381,True,46,8,12,2007-09-04,dynotears,252
2007-10-03,99,640,0.06596578025149454,True,46,8,14,2007-10-03,dynotears,252
2007-11-01,99,562,0.05792620078334364,True,34,9,10,2007-11-01,dynotears,252
2007-12-03,99,605,0.06235827664399093,True,41,9,8,2007-12-03,dynotears,252
2008-01-03,99,614,0.06328592042877758,True,44,8,12,2008-01-03,dynotears,252
2008-02-04,99,595,0.06132756132756133,True,46,7,9,2008-02-04,dynotears,252
2008-03-05,99,615,0.06338899196042053,True,37,8,11,2008-03-05,dynotears,252
2008-04-04,99,642,0.06617192331478046,True,45,5,9,2008-04-04,dynotears,252
2008-05-05,99,587,0.060502989074417646,True,39,7,9,2008-05-05,dynotears,252
2008-06-04,99,648,0.06679035250463822,True,49,7,13,2008-06-04,dynotears,252
2008-07-03,99,622,0.06411049268192125,True,54,7,9,2008-07-03,dynotears,252
2008-08-04,99,564,0.05813234384662956,True,40,6,9,2008-08-04,dynotears,252
2008-09-03,99,643,0.06627499484642342,True,48,5,10,2008-09-03,dynotears,252
2008-10-02,99,591,0.06091527520098949,True,45,7,8,2008-10-02,dynotears,252
2008-10-31,99,613,0.06318284889713462,True,46,7,10,2008-10-31,dynotears,252
2008-12-02,99,594,0.061224489795918366,True,41,7,11,2008-12-02,dynotears,252
2009-01-02,99,584,0.06019377447948877,True,58,5,8,2009-01-02,dynotears,252
2009-02-03,99,554,0.05710162853019996,True,33,5,11,2009-02-03,dynotears,252
2009-03-05,99,588,0.06060606060606061,True,50,5,9,2009-03-05,dynotears,252
2009-04-03,99,557,0.05741084312512884,True,42,8,8,2009-04-03,dynotears,252
2009-05-05,99,558,0.0575139146567718,True,45,5,8,2009-05-05,dynotears,252
2009-06-04,99,522,0.05380333951762523,True,37,5,9,2009-06-04,dynotears,252
2009-07-06,99,575,0.05926613069470212,True,40,5,8,2009-07-06,dynotears,252
2009-08-04,99,548,0.0564831993403422,True,36,5,9,2009-08-04,dynotears,252
2009-09-02,99,630,0.06493506493506493,True,51,6,9,2009-09-02,dynotears,252
2009-10-02,99,627,0.06462585034013606,True,41,6,8,2009-10-02,dynotears,252
2009-11-02,99,583,0.060090702947845805,True,45,5,8,2009-11-02,dynotears,252
2009-12-02,99,626,0.0645227788084931,True,47,7,11,2009-12-02,dynotears,252
2010-01-04,99,657,0.06771799628942486,True,58,5,6,2010-01-04,dynotears,252
2010-02-03,99,631,0.06503813646670789,True,62,7,8,2010-02-03,dynotears,252
2010-03-05,99,598,0.06163677592249021,True,50,6,8,2010-03-05,dynotears,252
2010-04-06,99,609,0.06277056277056277,True,53,6,11,2010-04-06,dynotears,252
2010-05-05,99,631,0.06503813646670789,True,46,7,11,2010-05-05,dynotears,252
2010-06-04,99,509,0.05246340960626675,True,48,7,13,2010-06-04,dynotears,252
2010-07-06,99,577,0.059472273757988046,True,50,8,11,2010-07-06,dynotears,252
2010-08-04,99,603,0.06215213358070501,True,50,7,10,2010-08-04,dynotears,252
2010-09-02,99,628,0.06472892187177902,True,49,8,10,2010-09-02,dynotears,252
2010-10-04,99,594,0.061224489795918366,True,54,7,11,2010-10-04,dynotears,252
2010-11-02,99,604,0.06225520511234797,True,46,7,13,2010-11-02,dynotears,252
2010-12-02,99,626,0.0645227788084931,True,52,5,9,2010-12-02,dynotears,252
2011-01-03,99,635,0.06545042259327974,True,48,5,9,2011-01-03,dynotears,252
2011-02-02,99,694,0.07153164296021439,True,46,5,12,2011-02-02,dynotears,252
2011-03-04,99,679,0.06998556998556998,True,52,6,9,2011-03-04,dynotears,252
2011-04-04,99,663,0.06833642547928262,True,49,6,11,2011-04-04,dynotears,252
2011-05-04,99,624,0.06431663574520717,True,48,6,9,2011-05-04,dynotears,252
2011-06-03,99,670,0.06905792620078334,True,55,5,9,2011-06-03,dynotears,252
2011-07-05,99,617,0.06359513502370645,True,51,6,9,2011-07-05,dynotears,252
2011-08-03,99,573,0.059059987631416205,True,47,7,9,2011-08-03,dynotears,252
2011-09-01,99,658,0.06782106782106782,True,56,6,9,2011-09-01,dynotears,252
2011-10-03,99,622,0.06411049268192125,True,45,5,8,2011-10-03,dynotears,252
2011-11-01,99,572,0.05895691609977324,True,47,6,9,2011-11-01,dynotears,252
2011-12-01,99,624,0.06431663574520717,True,41,5,9,2011-12-01,dynotears,252
2012-01-03,99,660,0.06802721088435375,True,51,5,9,2012-01-03,dynotears,252
2012-02-02,99,594,0.061224489795918366,True,43,5,8,2012-02-02,dynotears,252
2012-03-05,99,619,0.06380127808699237,True,41,5,10,2012-03-05,dynotears,252
2012-04-03,99,594,0.061224489795918366,True,50,5,9,2012-04-03,dynotears,252
2012-05-03,99,638,0.06575963718820861,True,61,4,9,2012-05-03,dynotears,252
2012-06-04,99,598,0.06163677592249021,True,51,4,7,2012-06-04,dynotears,252
2012-07-03,99,651,0.0670995670995671,True,50,3,6,2012-07-03,dynotears,252
2012-08-02,99,588,0.06060606060606061,True,49,3,8,2012-08-02,dynotears,252
2012-08-31,99,643,0.06627499484642342,True,48,3,5,2012-08-31,dynotears,252
2012-10-02,99,619,0.06380127808699237,True,51,3,7,2012-10-02,dynotears,252
2012-11-02,99,636,0.0655534941249227,True,55,3,7,2012-11-02,dynotears,252
2012-12-04,99,579,0.059678416821273964,True,47,4,7,2012-12-04,dynotears,252
2013-01-04,99,579,0.059678416821273964,True,55,2,6,2013-01-04,dynotears,252
2013-02-05,99,641,0.0660688517831375,True,52,2,8,2013-02-05,dynotears,252
2013-03-07,99,608,0.0626674912389198,True,49,3,7,2013-03-07,dynotears,252
2013-04-08,99,614,0.06328592042877758,True,50,2,4,2013-04-08,dynotears,252
2013-05-07,99,649,0.06689342403628118,True,49,2,5,2013-05-07,dynotears,252
2013-06-06,99,647,0.06668728097299526,True,55,3,5,2013-06-06,dynotears,252
2013-07-08,99,586,0.060399917542774684,True,51,2,8,2013-07-08,dynotears,252
2013-08-06,99,709,0.07307771593485879,True,51,1,6,2013-08-06,dynotears,252
2013-09-05,99,613,0.06318284889713462,True,46,2,5,2013-09-05,dynotears,252
2013-10-04,99,552,0.05689548546691404,True,49,1,5,2013-10-04,dynotears,252
2013-11-04,99,598,0.06163677592249021,True,49,2,3,2013-11-04,dynotears,252
2013-12-04,99,705,0.07266542980828695,True,52,1,5,2013-12-04,dynotears,252
